"filename", "language", "Dart", "comment", "blank", "total"
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/main.dart", "Dart", 107, 30, 13, 150
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/models/saved_route.dart", "Dart", 79, 6, 16, 101
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/models/saved_route.g.dart", "Dart", 74, 4, 13, 91
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/providers/loading_providers.dart", "Dart", 5, 12, 5, 22
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/providers/service_providers.dart", "Dart", 26, 16, 7, 49
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/providers/ui_providers.dart", "Dart", 101, 54, 26, 181
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/screens/gravel_streets_map.dart", "Dart", 2740, 174, 157, 3071
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/screens/saved_routes_page.dart", "Dart", 767, 16, 60, 843
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/services/file_service.dart", "Dart", 321, 15, 36, 372
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/services/location_service.dart", "Dart", 55, 7, 10, 72
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/services/map_service.dart", "Dart", 0, 0, 2, 2
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/services/measurement_service.dart", "Dart", 267, 51, 50, 368
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/services/route_service.dart", "Dart", 300, 37, 47, 384
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/utils/coordinate_utils.dart", "Dart", 28, 3, 5, 36
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/widgets/distance_panel.dart", "Dart", 617, 11, 16, 644
"/Users/andersolsen/flutterproj/my_proj/gravel_biking/lib/widgets/point_marker.dart", "Dart", 169, 17, 18, 204
"Total", "-", 5656, 453, 481, 6590
